date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-07-24,62.8375,63.7125,62,62.1775,61.616043,35462180,8865545,-0.66,-1.05,62.74,"July 24, 18",-0.0105
2018-07-23,62.455,62.4725,60.82,62.3525,61.789459,30158484,7539621,-0.1025,-0.16412,61.88,"July 23, 18",-0.0016412
2018-07-20,62.9825,63.375,62.6125,62.7225,62.156116,22248644,5562161,-0.26,-0.41281,62.98,"July 20, 18",-0.0041281
2018-07-19,62.735,63.3475,62.5825,63.0075,62.438545,23575132,5893783,0.2725,0.43437,62.97,"July 19, 18",0.0043437
2018-07-18,63.3475,63.4875,62.41,62.925,62.356789,27764164,6941041,-0.4225,-0.66696,62.97,"July 18, 18",-0.0066696
2018-07-17,61.5525,63.575,61.295,63.4225,62.8498,36213580,9053395,1.87,3.04,62.8,"July 17, 18",0.0304
2018-07-16,62.05,62.585,61.925,62.05,61.489697,19667584,4916896,0,0,62.16,"July 16, 18",0
2018-07-13,62.995,62.995,61.905,62.33,61.767162,24716312,6179078,-0.665,-1.06,62.35,"July 13, 18",-0.0106
2018-07-12,62.34,63.2925,62.24,62.8075,62.240349,34550692,8637673,0.4675,0.74992,62.91,"July 12, 18",0.0074992
2018-07-11,62.375,62.725,61.775,61.8825,61.323708,36750640,9187660,-0.4925,-0.78958,62.13,"July 11, 18",-0.0078958
2018-07-10,62.4375,63.535,62.03,63.3125,62.740791,36001560,9000390,0.875,1.4,63.1,"July 10, 18",0.014
2018-07-09,62.5824,62.68,61.5177,62.3125,61.749821,30388088,7597022,-0.2699,-0.43127,62.02,"July 09, 18",-0.0043127
2018-07-06,60.435,61.9163,60.22,61.8325,61.274151,29635288,7408822,1.3975,2.31,61.38,"July 06, 18",0.0231
2018-07-05,59.7675,60.7325,59.375,60.6825,60.134533,30620992,7655248,0.915,1.53,60.17,"July 05, 18",0.0153
2018-07-03,60.91,60.97,59.125,59.21,58.675323,22273300,5568325,-1.7,-2.79,59.94,"July 03, 18",-0.0279
2018-07-02,58.5225,60.5975,58.3162,60.56,60.013142,35757392,8939348,2.0375,3.48,59.8,"July 02, 18",0.0348
2018-06-29,60.8725,61,59.2125,59.225,58.690193,39197908,9799477,-1.6475,-2.71,59.75,"June 29, 18",-0.0271
2018-06-28,58.83,60.335,58.7525,60.215,59.671261,33801188,8450297,1.385,2.35,59.79,"June 28, 18",0.0235
2018-06-27,60.9375,61.6075,58.875,58.93,58.397865,45389212,11347303,-2.0075,-3.29,60.09,"June 27, 18",-0.0329
2018-06-26,60.925,61.4125,59.9775,60.4975,59.95121,47848548,11962137,-0.4275,-0.70168,60.63,"June 26, 18",-0.0070168
2018-06-25,61.6625,61.7,58.885,59.78,59.240189,66581724,16645431,-1.8825,-3.05,59.89,"June 25, 18",-0.0305
2018-06-22,64.4875,64.6225,62.5825,62.7375,62.170982,43415816,10853954,-1.75,-2.71,63.06,"June 22, 18",-0.0271
2018-06-21,65.9,66.085,64.2,64.2775,63.697063,35877624,8969406,-1.6225,-2.46,64.78,"June 21, 18",-0.0246
2018-06-20,65.458,66.1125,65.0702,65.5775,64.985329,36977976,9244494,0.1195,0.18256,65.61,"June 20, 18",0.0018256
2018-06-19,65.23,65.91,63.755,65.0425,64.455177,59493296,14873324,-0.1875,-0.28744,64.64,"June 19, 18",-0.0028744
2018-06-18,65.87,66.45,65.595,66.2725,65.674057,35626696,8906674,0.4025,0.61105,65.99,"June 18, 18",0.0061105
2018-06-15,66.15,66.87,65.8371,66.315,65.716156,43225952,10806488,0.165,0.24943,66.38,"June 15, 18",0.0024943
2018-06-14,66.055,67.3,65.905,66.7275,66.124939,43001644,10750411,0.6725,1.02,66.79,"June 14, 18",0.0102
2018-06-13,65.66,66.4175,65.5078,65.6,65.007629,33820636,8455159,-0.06,-0.09137984,65.99,"June 13, 18",-0.0009137984
2018-06-12,65.4225,65.7675,64.915,65.645,65.052216,31915940,7978985,0.2225,0.3401,65.42,"June 12, 18",0.003401
2018-06-11,65.4425,65.8625,65.025,65.155,64.566643,26537012,6634253,-0.2875,-0.43932,65.33,"June 11, 18",-0.0043932
2018-06-08,64.99,66,64.8,65.57,64.977898,36045772,9011443,0.58,0.89244,65.55,"June 08, 18",0.0089244
2018-06-07,66.25,66.3696,64.8125,65.725,65.1315,36904864,9226216,-0.525,-0.79245,65.58,"June 07, 18",-0.0079245
2018-06-06,65.3575,66.32,65.1925,66.2875,65.688919,37135424,9283856,0.93,1.42,65.89,"June 06, 18",0.0142
2018-06-05,66.245,66.6475,65.7925,66.2675,65.669106,39171204,9792801,0.0225,0.03396483,66.26,"June 05, 18",0.0003396483
2018-06-04,64.75,66.435,64.425,66.2125,65.614594,64202564,16050641,1.4625,2.26,65.63,"June 04, 18",0.0226
2018-06-01,63.5,64.4675,63.4125,64.405,63.82341,42196992,10549248,0.905,1.43,64.05,"June 01, 18",0.0143
2018-05-31,62.925,63.8,62.8175,63.0475,62.478188,49386836,12346709,0.1225,0.19468,63.38,"May 31, 18",0.0019468
